40	50	41
102	100	2
68	1	69
48	36	39
54	14	32
14	10	85
21	59	86
42	46	55
49	26	29
96	61	27
14	69	23
94	18	48
63	78	28
85	33	73
10	5	38
58	46	55
77	86	59
28	63	31
11	48	94
53	49	22
22	53	82
6	59	86
53	82	20
73	32	10
64	52	101
91	62	6
29	8	98
104	51	105
63	17	78
26	60	88
93	83	39
63	28	12
23	73	4
98	13	70
104	51	54
40	95	57
98	3	73
46	61	39
14	54	89
48	37	94
50	41	35
40	26	0
7	73	56
68	6	58
98	28	12
78	31	98
55	37	15
59	86	6
39	18	3
8	19	53
69	40	2
104	105	77
24	64	101
22	81	19
38	105	4
46	65	61
62	42	96
54	95	32
68	15	67
86	6	77
70	88	29
55	71	37
56	91	104
28	12	31
24	52	59
55	61	46
39	61	48
58	68	76
58	67	103
10	50	100
60	88	85
61	11	48
50	17	1
23	32	42
92	84	19
100	87	1
32	67	5
59	51	86
45	12	28
38	14	89
57	43	54
53	22	83
53	22	20
30	93	39
92	74	57
13	14	5
59	6	47
75	103	58
60	70	29
105	38	104
101	24	64
62	20	25
74	84	57
30	83	85
11	39	18
57	74	105
9	56	64
27	72	89
36	33	45
73	32	5
69	75	1
24	90	47
1	2	75
46	68	58
34	51	105
51	89	54
